invoice_id,vendor,department,invoice_type,amount,submitted_date,due_date,approved_date,approval_days,payment_terms_days,has_purchase_order,duplicate_flag,vendor_delay_history,sla_breached,risk_level,risk_reason,next_best_action
INV-00001,CloudBridge Ltd,Finance,Logistics,8613.36,2025-02-22,2025-03-24,2025-02-26,4,30,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00002,GreenLogix,Finance,Software License,3264.01,2025-10-15,2025-10-30,2025-10-19,4,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00003,FinEdge Services,Operations,Security Service,8706.63,2025-03-23,2025-04-07,2025-04-06,14,15,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00004,NetSecure Inc,Finance,Software License,11707.86,2025-11-06,2025-12-21,2025-11-12,6,45,True,True,False,False,High,Duplicate invoice detected,Escalate to manager
INV-00005,CloudBridge Ltd,Operations,Software License,16785.2,2025-10-23,2025-12-07,2025-11-06,14,45,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00006,OfficePlus Group,Finance,Consulting Service,26061.27,2025-08-21,2025-10-05,2025-08-28,7,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00007,FinEdge Services,Risk Management,Cloud Infrastructure,21203.7,2025-11-08,2025-11-23,2025-11-19,11,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00008,Alpha Consulting,Operations,Cloud Infrastructure,29690.94,2025-06-16,2025-07-16,2025-06-27,11,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00009,TechNova Solutions,Procurement,Office Supplies,8398.36,2025-04-19,2025-06-03,2025-04-23,4,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00010,Alpha Consulting,IT,Cloud Infrastructure,4619.09,2025-10-27,2025-12-11,2025-11-08,12,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00011,DataCore Systems,HR,Office Supplies,3181.83,2025-03-20,2025-04-04,2025-03-21,1,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00012,CloudBridge Ltd,Operations,Office Supplies,18078.71,2025-10-11,2025-11-25,2025-10-19,8,45,True,True,False,False,High,Duplicate invoice detected,Escalate to manager
INV-00013,OfficePlus Group,Risk Management,Cloud Infrastructure,3790.79,2025-08-21,2025-09-20,2025-08-28,7,30,False,False,False,False,Medium,Missing purchase order,Request missing information
INV-00014,DataCore Systems,HR,Software License,26180.3,2025-03-20,2025-04-19,2025-03-25,5,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00015,TechNova Solutions,HR,Cloud Infrastructure,14913.87,2025-06-07,2025-07-22,2025-06-09,2,45,True,False,False,False,Low,No risk detected,Approve for payment
