invoice_id,vendor,department,invoice_type,amount,submitted_date,due_date,approved_date,approval_days,payment_terms_days,has_purchase_order,duplicate_flag,vendor_delay_history,sla_breached,risk_level,risk_reason,next_best_action,days_until_due,approval_delay_flag,amount_category
INV-00001,CloudBridge Ltd,Finance,Logistics,6948.23,2025-02-22,2025-03-24,2025-03-02,8,30,1,1,0,0,High,Duplicate invoice detected,Send for manual review,30,0,Medium
INV-00002,TechNova Solutions,Finance,Consulting Service,5893.26,2025-10-15,2025-10-30,2025-11-04,20,15,1,1,0,1,High,Duplicate invoice detected,Escalate to manager,15,1,Medium
INV-00003,Alpha Consulting,HR,Cloud Infrastructure,20254.82,2025-08-05,2025-09-04,2025-08-06,1,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Large
INV-00004,FinEdge Services,Procurement,Software License,2409.37,2025-06-26,2025-08-10,2025-06-30,4,45,1,0,1,0,Medium,Vendor has previous delays,Request missing information,45,0,Medium
INV-00005,Alpha Consulting,HR,Software License,24330.58,2025-10-10,2025-10-25,2025-10-23,13,15,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,15,1,Large
INV-00006,FinEdge Services,Risk Management,Software License,1241.03,2025-02-10,2025-03-27,2025-02-18,8,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Medium
INV-00007,OfficePlus Group,Operations,Logistics,20869.35,2025-07-01,2025-08-15,2025-07-07,6,45,1,0,1,0,Medium,Vendor has previous delays,Request missing information,45,0,Large
INV-00008,CloudBridge Ltd,HR,Logistics,4361.35,2025-08-25,2025-09-24,2025-09-02,8,30,0,0,1,0,Medium,Missing purchase order,Request missing information,30,0,Medium
INV-00009,FinEdge Services,Risk Management,Cloud Infrastructure,21087.01,2025-01-17,2025-02-16,2025-01-19,2,30,1,1,0,0,High,Duplicate invoice detected,Send for manual review,30,0,Large
INV-00010,CloudBridge Ltd,IT,Security Service,21921.55,2025-09-13,2025-10-13,2025-09-24,11,30,0,1,0,1,High,Duplicate invoice detected,Escalate to manager,30,1,Large
INV-00011,OfficePlus Group,IT,Consulting Service,18650.23,2025-10-27,2025-12-11,2025-11-14,18,45,0,1,0,1,High,Duplicate invoice detected,Escalate to manager,45,1,Large
INV-00012,FinEdge Services,IT,Security Service,12388.54,2025-03-20,2025-04-04,2025-03-22,2,15,1,1,1,0,High,Duplicate invoice detected,Send for manual review,15,0,Large
INV-00013,CloudBridge Ltd,Operations,Office Supplies,14937.62,2025-10-11,2025-11-25,2025-10-26,15,45,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,45,1,Large
INV-00014,OfficePlus Group,Risk Management,Cloud Infrastructure,2877.65,2025-08-21,2025-09-20,2025-09-04,14,30,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,30,1,Medium
INV-00015,DataCore Systems,HR,Software License,21775.91,2025-03-20,2025-04-19,2025-03-30,10,30,1,0,1,0,Medium,Vendor has previous delays,Request missing information,30,0,Large
INV-00016,TechNova Solutions,HR,Cloud Infrastructure,12266.28,2025-06-07,2025-07-22,2025-06-11,4,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Large
INV-00017,CloudBridge Ltd,Finance,Logistics,12201.16,2025-03-07,2025-04-06,2025-03-10,3,30,0,0,0,0,Medium,Missing purchase order,Request missing information,30,0,Large
INV-00018,GreenLogix,IT,Security Service,18906.1,2025-07-24,2025-09-07,2025-07-31,7,45,1,1,1,0,High,Duplicate invoice detected,Send for manual review,45,0,Large
INV-00019,Alpha Consulting,Finance,Consulting Service,5694.96,2025-10-29,2025-11-13,2025-11-09,11,15,1,0,0,1,Low,No risk detected,Escalate to manager,15,1,Medium
INV-00020,CloudBridge Ltd,Risk Management,Logistics,1565.96,2025-06-19,2025-07-04,2025-06-22,3,15,1,0,0,0,Low,No risk detected,Approve for payment,15,0,Medium
INV-00021,Alpha Consulting,IT,Security Service,3394.57,2025-05-05,2025-07-04,2025-05-24,19,60,0,1,0,1,High,Duplicate invoice detected,Escalate to manager,60,1,Medium
INV-00022,CloudBridge Ltd,Finance,Logistics,10833.17,2025-08-28,2025-10-27,2025-09-11,14,60,1,0,0,1,Low,No risk detected,Escalate to manager,60,1,Large
INV-00023,GreenLogix,Risk Management,Cloud Infrastructure,20034.75,2025-04-09,2025-05-09,2025-04-13,4,30,1,1,0,0,High,Duplicate invoice detected,Send for manual review,30,0,Large
INV-00024,GreenLogix,IT,Cloud Infrastructure,11619.44,2025-10-09,2025-12-08,2025-10-12,3,60,1,0,1,0,Medium,Vendor has previous delays,Request missing information,60,0,Large
INV-00025,TechNova Solutions,Finance,Consulting Service,4241.15,2025-04-20,2025-06-19,2025-05-06,16,60,0,0,0,1,Medium,Missing purchase order,Escalate to manager,60,1,Medium
INV-00026,GreenLogix,Finance,Office Supplies,6703.56,2025-08-05,2025-09-19,2025-08-20,15,45,0,0,0,1,Medium,Missing purchase order,Escalate to manager,45,1,Medium
INV-00027,OfficePlus Group,IT,Software License,14521.59,2025-06-10,2025-06-25,2025-06-28,18,15,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,15,1,Large
INV-00028,Alpha Consulting,HR,Security Service,4020.07,2025-04-06,2025-04-21,2025-04-23,17,15,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,15,1,Medium
INV-00029,FinEdge Services,Operations,Software License,23545.74,2025-10-24,2025-11-23,2025-11-12,19,30,1,0,0,1,Low,No risk detected,Escalate to manager,30,1,Large
INV-00030,NetSecure Inc,Procurement,Consulting Service,16776.18,2025-05-16,2025-06-15,2025-05-27,11,30,0,0,1,1,High,Amount exceeds approval limit,Escalate to manager,30,1,Large
INV-00031,OfficePlus Group,Operations,Cloud Infrastructure,23232.56,2025-08-23,2025-09-07,2025-08-26,3,15,1,0,1,0,Medium,Vendor has previous delays,Request missing information,15,0,Large
INV-00032,FinEdge Services,HR,Cloud Infrastructure,3398.17,2025-05-06,2025-05-21,2025-05-18,12,15,1,0,0,1,Low,No risk detected,Escalate to manager,15,1,Medium
INV-00033,Alpha Consulting,HR,Logistics,7632.68,2025-10-11,2025-10-26,2025-10-28,17,15,1,0,0,1,Low,No risk detected,Escalate to manager,15,1,Medium
INV-00034,OfficePlus Group,Finance,Software License,18586.18,2025-05-25,2025-07-09,2025-05-30,5,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Large
INV-00035,OfficePlus Group,HR,Office Supplies,6352.92,2025-11-21,2025-12-06,2025-11-23,2,15,0,0,0,0,Medium,Missing purchase order,Request missing information,15,0,Medium
INV-00036,TechNova Solutions,Procurement,Consulting Service,15964.12,2025-08-15,2025-09-14,2025-08-24,9,30,0,0,0,0,High,Amount exceeds approval limit,Send for manual review,30,0,Large
INV-00037,CloudBridge Ltd,Risk Management,Consulting Service,13685.2,2025-08-09,2025-09-08,2025-08-21,12,30,1,0,0,1,Low,No risk detected,Escalate to manager,30,1,Large
INV-00038,NetSecure Inc,Finance,Cloud Infrastructure,5330.91,2025-07-01,2025-07-16,2025-07-09,8,15,0,0,0,0,Medium,Missing purchase order,Request missing information,15,0,Medium
INV-00039,DataCore Systems,IT,Office Supplies,717.18,2025-05-08,2025-07-07,2025-05-19,11,60,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,60,1,Small
INV-00040,CloudBridge Ltd,Operations,Software License,21478.97,2025-08-24,2025-09-23,2025-09-01,8,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Large
INV-00041,FinEdge Services,Finance,Logistics,4908.93,2025-02-05,2025-03-22,2025-02-16,11,45,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,45,1,Medium
INV-00042,GreenLogix,Risk Management,Security Service,8345.63,2025-05-14,2025-05-29,2025-05-15,1,15,1,0,0,0,Low,No risk detected,Approve for payment,15,0,Medium
INV-00043,CloudBridge Ltd,HR,Office Supplies,8707.61,2025-11-07,2026-01-06,2025-11-18,11,60,1,1,1,1,High,Duplicate invoice detected,Escalate to manager,60,1,Medium
INV-00044,FinEdge Services,Procurement,Software License,17748.75,2025-07-06,2025-08-05,2025-07-07,1,30,0,0,1,0,High,Amount exceeds approval limit,Send for manual review,30,0,Large
INV-00045,NetSecure Inc,HR,Cloud Infrastructure,16618.35,2025-09-17,2025-11-01,2025-09-21,4,45,1,1,0,0,High,Duplicate invoice detected,Send for manual review,45,0,Large
INV-00046,GreenLogix,Risk Management,Cloud Infrastructure,13904.87,2025-07-14,2025-09-12,2025-07-21,7,60,1,0,0,0,Low,No risk detected,Approve for payment,60,0,Large
INV-00047,TechNova Solutions,Procurement,Cloud Infrastructure,5333.55,2025-08-27,2025-10-11,2025-09-15,19,45,0,1,1,1,High,Duplicate invoice detected,Escalate to manager,45,1,Medium
INV-00048,FinEdge Services,HR,Office Supplies,19864.01,2025-05-26,2025-06-10,2025-06-01,6,15,1,0,0,0,Low,No risk detected,Approve for payment,15,0,Large
INV-00049,OfficePlus Group,IT,Consulting Service,3769.11,2025-09-01,2025-10-01,2025-09-03,2,30,1,1,0,0,High,Duplicate invoice detected,Send for manual review,30,0,Medium
INV-00050,FinEdge Services,Risk Management,Logistics,9661.06,2025-03-17,2025-04-16,2025-03-30,13,30,1,0,0,1,Low,No risk detected,Escalate to manager,30,1,Medium
INV-00051,FinEdge Services,IT,Logistics,12997.15,2025-03-04,2025-04-03,2025-03-06,2,30,0,0,0,0,Medium,Missing purchase order,Request missing information,30,0,Large
INV-00052,NetSecure Inc,Operations,Security Service,20393.66,2025-10-08,2025-12-07,2025-10-25,17,60,0,0,1,1,High,Amount exceeds approval limit,Escalate to manager,60,1,Large
